rn,user_link,net_token_amount,shares_amount,avg_price,avg_price_usd,per_of_total_share,per_of_total_share_cum
100,"<a href=https://debank.com/profile/0x86cd235cecbf2f179559ed3f41894ed3df46124a target=_blank"">0x86cd235cecbf2f179559ed3f41894ed3df46124a</a>",5,83080.17359353881,6.0182830436320276e-05,0.15129662657538737,0.0021176831382614665,0.6098141012209757
88,"<a href=https://debank.com/profile/0x9b7d7c4ce98036c4d6f3d638a00e220e083116c7 target=_blank"">0x9b7d7c4ce98036c4d6f3d638a00e220e083116c7</a>",5.09,83032.85750885037,6.130103374387017e-05,0.1541077337804024,0.002116477068625605,0.6119305782896013
106,"<a href=https://debank.com/profile/0x2f00ec31652d35f0aa5bbd72520bee6069f6fb36 target=_blank"">0x2f00ec31652d35f0aa5bbd72520bee6069f6fb36</a>",4.98,82924.24797906766,6.0054810521249324e-05,0.1509747909098947,0.002113708651566192,0.6140442869411675
101,"<a href=https://debank.com/profile/0xfeeed14648595dd8ebfad8a98b742c9395a89758 target=_blank"">0xfeeed14648595dd8ebfad8a98b742c9395a89758</a>",5,82410.93068857354,6.067156332567982e-05,0.15252527662259277,0.0021006243821955514,0.6161449113233631
102,"<a href=https://debank.com/profile/0x6e4e3b52986e46b4d656c49b8c18c742e311e354 target=_blank"">0x6e4e3b52986e46b4d656c49b8c18c742e311e354</a>",5,81871.52295950225,6.107129584572709e-05,0.1535301841913656,0.0020868750771195804,0.6182317864004827
109,"<a href=https://debank.com/profile/0x7335f905b4dd29d58c5afcb4f8d8016e1eb5ad9b target=_blank"">0x7335f905b4dd29d58c5afcb4f8d8016e1eb5ad9b</a>",4.47,79751.02639112936,5.6049435377513763e-05,0.14090547806730072,0.002032824397717367,0.6202646107982001
121,"<a href=https://debank.com/profile/0x1e6f4144d4b89fd7c3df7cd2e27de8c609349bb8 target=_blank"">0x1e6f4144d4b89fd7c3df7cd2e27de8c609349bb8</a>",4.124477052414189,79746.90407857046,5.1719588366095784e-05,0.1300204591729465,0.002032719321482942,0.622297330119683
105,"<a href=https://debank.com/profile/0x95cf34a95e1a4bef8a2619f2e4be9ba05d899bb4 target=_blank"">0x95cf34a95e1a4bef8a2619f2e4be9ba05d899bb4</a>",4.99,79720.79396193335,6.259345588533305e-05,0.157356818422933,0.0020320537841910847,0.6243293839038742
103,"<a href=https://debank.com/profile/0x1cbd28d1ef18aef1ed1d7e883e040640170dfff4 target=_blank"">0x1cbd28d1ef18aef1ed1d7e883e040640170dfff4</a>",5,79219.11193287515,6.311608244531518e-05,0.1586706754634001,0.002019266093364835,0.6263486499972389
124,"<a href=https://debank.com/profile/0x8e122ade7ae23d1dd2413ea837e78e638d3b1a73 target=_blank"">0x8e122ade7ae23d1dd2413ea837e78e638d3b1a73</a>",4,78441.38120938654,5.099349269899581e-05,0.12819509097064052,0.0019994420226148455,0.6283480920198538
131,"<a href=https://debank.com/profile/0xa600414b92c0d38659464ce9f4a8ffd5140a726d target=_blank"">0xa600414b92c0d38659464ce9f4a8ffd5140a726d</a>",3.949,77314.94360366873,5.1076801145239575e-05,0.128404524239075,0.001970729541396369,0.6303188215612501
125,"<a href=https://debank.com/profile/0x76ce9584be851ebe398dccc04089c68969fb8da2 target=_blank"">0x76ce9584be851ebe398dccc04089c68969fb8da2</a>",4,77168.86450164788,5.18343768025067e-05,0.13030903156266171,0.001967006038690232,0.6322858275999403
110,"<a href=https://debank.com/profile/0x845aacf40542ac7561b96e222d83d84e4d0736c0 target=_blank"">0x845aacf40542ac7561b96e222d83d84e4d0736c0</a>",4.4,76668.6677116242,5.738980644022446e-05,0.14427510390040227,0.0019542562060619567,0.6342400838060023
126,"<a href=https://debank.com/profile/0xbe7797493b0d22ccce5a6e9367b62f26a780d762 target=_blank"">0xbe7797493b0d22ccce5a6e9367b62f26a780d762</a>",4,76484.53031692162,5.229815733228122e-05,0.13147495262548836,0.0019495626114410208,0.6361896464174432
